id,title,original_collection,approximate_year,place,region,scene_type,themes,summary,editorial_note,proposed_section,source_reference,copyright_status_note,confidence
E-001,白门秋柳,金陵五记（最初单篇，1942）,1942,南京（白门）,金陵,城市,故都余韵；历史兴亡；城市记忆；江南文化,据《金陵五记》编年置于1942年的开卷之作，借'白门秋柳'意象写战时南京的衰飒与历史苍凉。内容细节待据原文核校。,全书核心辑（第三辑'金陵旧梦'）的定调之作，建议作为该辑开篇。,3,《金陵五记》目录（网络检索，编年1942）。,在版权保护期内；仅作索引与摘要，正文勿大段复制。,待核
E-002,旅京随笔,金陵五记,1946,南京,金陵,城市,城市记忆；战时经验；掌故,1946年返访南京的随笔，属战后重看旧都的一组文字。具体篇幅与内容待核。,第三辑；与1946年其他南京诸篇可成'战后初访'小组。,3,《金陵五记》目录（编年1946）。,在版权保护期内；仅索引与摘要。,待核
E-003,鸡鸣寺,金陵五记,1946,南京·鸡鸣寺,金陵,寺观,古迹；历史兴亡；掌故,写鸡鸣寺一带的登临与怀古；与1979年《重过鸡鸣寺》构成同地重访的对照。内容待核。,第三辑；可与《重过鸡鸣寺》并置，呈现三十年前后同一地点的双重书写。,3,《金陵五记》目录（编年1946）。,在版权保护期内；仅索引与摘要。,待核
E-004,关于“泽存书库”,金陵五记,1946,南京,金陵,书肆,书话；掌故；历史兴亡,记南京'泽存书库'（与陈群相关的藏书旧事），属访书—藏书—史事交织的文字。内容待核。,可双栖第三辑与第七辑；建议入第三辑保持金陵地缘完整，于第七辑导读中互见。,3,《金陵五记》目录（编年1946）。,在版权保护期内；仅索引与摘要。,待核
E-005,访“盔山精舍”,金陵五记,1946,南京,金陵,旧宅,掌故；人物；书话,访南京'盔山精舍'的记游兼记人之作。所涉人物与建置待核。,第三辑；记访类，可与第八辑'人物途中'互见。,3,《金陵五记》目录（编年1946）。,在版权保护期内；仅索引与摘要。,待核
E-006,老虎桥边看“知堂”,金陵五记,1946,南京·老虎桥监狱,金陵,战时现场,人物；历史兴亡；战时经验,1946年于南京老虎桥监狱探看在押的周作人（知堂）的纪实，是战后审奸语境下的人物现场记录。细节待核。,极具史料与文学张力，'必收'候选；置第三辑，并在第八辑导读中点出其人物书写意义。,3,《金陵五记》目录（编年1946）。,在版权保护期内；仅索引与摘要，引用限短句并注出处。,待核
E-007,金陵杂记,金陵五记,1947,南京（多处）,金陵,古迹,古迹；掌故；历史兴亡；人物；江南文化,1947年的系列短札，下含小序及半山寺与谢公墩、石观音寺、周处读书台、绛云书卷美人图、柳如是、快园、随园、梅园、后湖、小虹桥、咏怀堂诗、梅花山、莫愁湖、明太祖与徐达、桃花扇底看南朝、马湘兰、记者生涯、豁蒙楼上看浓春、燕子矶、白鹭洲等约二十则。,第三辑骨干。建议整组收入或精选，并在注释中逐则补史地背景；其'一地一史一人'的写法最能代表黄裳游记本质。,3,《金陵五记》目录（编年1947，含子目，网络检索）。,在版权保护期内；仅索引、子目与摘要。,待核
E-008,解放后看江南,金陵五记,1949,江南／南京,江南,城市,城市记忆；历史兴亡；战时经验,1949年政权更替之际重看江南/南京的一组文字，带有强烈的时代转折现场感。内容待核。,时代标尺性文本；建议第三辑收录并在导读中点明1949的断层意义。可选'必收'。,3,《金陵五记》目录（编年1949）。,在版权保护期内；仅索引与摘要。,待核
E-009,司徒雷登夹着皮包走了以后,金陵五记,1949,南京,金陵,城市,历史兴亡；人物；战时经验,1949年以美国驻华大使司徒雷登离华为切口写南京政局变动的时评式随笔。内容待核。,题目极具时代色彩；史料价值高但时评成分重，列'可选'，宜入第三辑并加历史注释。,3,《金陵五记》目录（编年1949）。,在版权保护期内；仅索引与摘要。,待核
E-010,白下书简,金陵五记,1979,南京（白下）,金陵,城市,城市记忆；故都余韵；掌故,1979年重写南京的书简体文字，距早年金陵书写已逾三十年，带追忆与今昔对照。内容待核。,第三辑；与1940年代诸篇构成跨时空对读，建议作为该辑后段收束。,3,《金陵五记》目录（编年1979）。,在版权保护期内；仅索引与摘要。,待核
E-011,秦淮拾梦记,金陵五记,1979,南京·秦淮,金陵,江河,故都余韵；江南文化；历史兴亡；掌故,1979年重游秦淮的追梦之作，缀合明清秦淮风月、桃花扇旧事与个人记忆。内容待核（网络有节选流传，使用须核全文出处）。,金陵书写名篇，'必收'候选，可作第三辑代表作之一。,3,《金陵五记》目录（编年1979）；另见网络流传节选（出处待核）。,在版权保护期内；网络节选不足为据，引用限短句并注原书页。,待核
E-012,重过鸡鸣寺,金陵五记,1979,南京·鸡鸣寺,金陵,寺观,古迹；故都余韵；历史兴亡,1979年重访鸡鸣寺，与1946年《鸡鸣寺》形成同地重写的时间纵深。内容待核。,建议与E-003并置编排，凸显'同地重访'的结构匠心。,3,《金陵五记》目录（编年1979）。,在版权保护期内；仅索引与摘要。,待核
